cutoff	queries	decoys	recov	tp	fp	tn	fn	prec	recall
0.0500	3280	3246	3280	5904	387	40709	35600	0.938483547926	0.142251349268
0.1000	3280	3246	3280	9992	2677	38419	31512	0.788696819007	0.240747879722
0.1500	3280	3246	3280	13226	6035	35061	28278	0.68667255075	0.318668080185
0.2000	3280	3246	3280	15988	9152	31944	25516	0.635958631663	0.385215882806
0.2500	3280	3246	3280	18792	11809	29287	22712	0.614097578511	0.452775636083
0.3000	3280	3246	3280	21390	13954	27142	20114	0.605194658216	0.515372012336
0.3500	3280	3246	3280	24350	15719	25377	17154	0.607701714542	0.586690439476
0.4000	3280	3246	3280	27464	17327	23769	14040	0.613158893528	0.661719352352
0.4500	3280	3246	3280	30212	18824	22272	11292	0.616118769883	0.727929838088
0.5000	3280	3246	3280	32609	20350	20746	8895	0.615740478483	0.785683307633
0.5500	3280	3246	3280	34417	21891	19205	7087	0.611227534276	0.82924537394
0.6000	3280	3246	3280	36021	23579	17517	5483	0.604379194631	0.867892251349
0.6500	3280	3246	3280	37356	25434	15662	4148	0.594935499283	0.900057825752
0.7000	3280	3246	3280	38525	27572	13524	2979	0.58285550025	0.928223785659
0.7500	3280	3246	3280	39644	29920	11176	1860	0.569892473118	0.955185042406
