query_pdb	query_chain	hit_pdb	hit_chain	hit_cosine	hit_euclid
2KJX	A	2KJX	A	0.000000	0.000000
2KJX	A	3HFQ	B	0.460274	41.653331
2KJX	A	3HFQ	A	0.476024	41.533119
2KJX	A	2IMZ	B	0.477172	14.764823
2KJX	A	3IGD	A	0.487094	14.525839
2KJX	A	2Z4L	D	0.491474	17.720045
2KJX	A	2Z4N	D	0.492689	17.776389
2KJX	A	2IN9	A	0.493509	14.352700
2KJX	A	2DB6	A	0.494619	8.544004
2KJX	A	2IN8	A	0.497127	14.491377
2KJX	A	1FLG	A	0.498399	54.083269
2KJX	A	2BH8	A	0.499574	10.770330
2KJX	A	3IFJ	B	0.501245	14.866069
2KJX	A	3G4H	A	0.502523	33.045423
2KJX	A	3IFJ	A	0.503531	14.525839
2KJX	A	3G4E	B	0.505056	32.526912
2KJX	A	3G4H	B	0.506615	33.376639
2KJX	A	1FLG	B	0.512745	53.656314
2KJX	A	2CKZ	B	0.512830	19.442222
2KJX	A	2QAM	D	0.512913	18.055470
2KJX	A	2QAO	D	0.515200	18.165902
2KJX	A	1MPP	A	0.515377	28.948230
2KJX	A	2QBI	D	0.515611	17.492856
2KJX	A	2QP1	D	0.516729	17.776389
2KJX	A	2ZF3	B	0.516770	18.708287
2KJX	A	2IN0	A	0.517618	14.422205
2KJX	A	3ORB	D	0.518571	18.330303
2KJX	A	2D5M	A	0.518633	17.635192
2KJX	A	3AL8	A	0.518644	44.609416
2KJX	A	4ASC	A	0.520028	34.249088
2KJX	A	2QOZ	D	0.520419	17.720045
2KJX	A	2QOX	D	0.520779	18.439089
2KJX	A	2QOV	D	0.520779	18.439089
2KJX	A	2QBK	D	0.521742	17.549929
2KJX	A	3LP9	A	0.521780	23.280893
2KJX	A	2IMZ	A	0.522621	15.066519
2KJX	A	3FGB	A	0.523183	39.293765
2KJX	A	2I2V	D	0.523340	18.330303
2KJX	A	3OFR	D	0.523666	18.110770
2KJX	A	1J71	A	0.523888	28.337255
2KJX	A	3LP9	C	0.524171	23.916521
2KJX	A	3TC9	B	0.524326	42.438190
2KJX	A	3TC9	A	0.524967	43.011626
2KJX	A	1YL3	E	0.525316	17.720045
2KJX	A	2D0V	D	0.525511	52.230259
2KJX	A	2XYS	A	0.525520	20.832667
2KJX	A	4HSD	B	0.526518	24.310492
2KJX	A	3KYR	C	0.526776	28.548205
2KJX	A	1H4I	C	0.527707	52.249402
2KJX	A	3I25	A	0.527862	30.133038
2KJX	A	3I20	D	0.528128	18.330303
2KJX	A	1ZAP	A	0.529063	27.964263
2KJX	A	3OFC	D	0.529224	18.384776
2KJX	A	1H4I	A	0.529295	52.191953
2KJX	A	3FGB	B	0.529411	38.626416
2KJX	A	3AYH	B	0.530401	19.646883
2KJX	A	1PBY	B	0.530538	37.202150
2KJX	A	3OAT	D	0.531098	18.000000
2KJX	A	2ZJL	A	0.531271	28.124722
2KJX	A	1KV9	A	0.531503	55.830099
2KJX	A	3V6N	A	0.531676	23.895606
2KJX	A	3IXK	A	0.531812	29.933259
2KJX	A	3IXK	C	0.532928	29.765752
2KJX	A	2I2T	D	0.532937	18.330303
2KJX	A	3RMZ	F	0.533013	37.947332
2KJX	A	3LP9	D	0.533292	23.748684
2KJX	A	1YIQ	A	0.533494	56.877060
2KJX	A	2QBA	D	0.533710	17.888544
2KJX	A	2QBC	D	0.533710	17.888544
2KJX	A	3OKY	A	0.533903	51.478151
2KJX	A	1KB0	A	0.534037	53.572381
2KJX	A	4GZA	E	0.534109	53.581713
2KJX	A	3K5G	A	0.534389	30.133038
2KJX	A	3DV5	B	0.534511	30.397368
2KJX	A	2D0V	I	0.534685	52.096065
2KJX	A	3FKT	A	0.534702	29.647934
2KJX	A	3R8T	D	0.535644	18.708287
2KJX	A	3LP9	B	0.535917	23.664319
2KJX	A	3NSH	A	0.536487	29.274562
2KJX	A	1H4J	E	0.536494	52.325902
2KJX	A	1H4J	A	0.536494	52.325902
2KJX	A	1H4J	C	0.536494	52.325902
2KJX	A	1H4J	G	0.536494	52.325902
2KJX	A	3K5F	B	0.537237	30.099834
2KJX	A	2ASI	A	0.537479	28.583212
2KJX	A	3DV5	A	0.537760	30.397368
2KJX	A	3HW1	B	0.537800	29.631065
2KJX	A	3OKT	A	0.537832	53.544374
2KJX	A	6APR	E	0.538056	27.604347
2KJX	A	1YM2	B	0.538085	30.166206
2KJX	A	3LIN	G	0.538154	12.124356
2KJX	A	2F3E	A	0.538176	30.430248
2KJX	A	4H5J	B	0.538346	37.161808
2KJX	A	2ZF4	A	0.538611	19.595918
2KJX	A	3K5F	A	0.538645	30.724583
2KJX	A	3KVC	B	0.538812	41.892720
2KJX	A	1SME	B	0.538996	27.928480
2KJX	A	2BJU	A	0.539073	27.422618
2KJX	A	3G4E	A	0.539247	32.062439
2KJX	A	3BMZ	A	0.539270	18.894444
query_pdb	query_chain	hit_pdb	hit_chain	hit_cosine	hit_euclid
2KXY	A	2KXY	A	-0.000000	0.000000
2KXY	A	1UYJ	A	0.139900	36.318040
2KXY	A	2B4H	A	0.148337	28.442925
2KXY	A	1UYJ	C	0.148685	37.563280
2KXY	A	1UYJ	B	0.148980	35.397740
