query_pdb	query_chain	hit_pdb	hit_chain	hit_cosine	hit_euclid
3OCE	A	3OCE	A	0.000000	0.000000
3OCE	A	3OCE	B	0.001387	7.549834
3OCE	A	3OCE	C	0.001795	8.888194
3OCE	A	3OCE	D	0.002844	13.416408
3OCE	A	3OCF	A	0.003176	13.038405
3OCE	A	3R6Q	G	0.003600	14.142136
3OCE	A	3R6V	B	0.003669	14.764823
3OCE	A	1J3U	A	0.003877	14.491377
3OCE	A	3R6V	D	0.003882	14.035669
3OCE	A	3R6Q	C	0.003977	14.696938
3OCE	A	3OCF	B	0.003992	12.688578
3OCE	A	3R6Q	F	0.004128	14.456832
3OCE	A	3R6Q	E	0.004153	14.899664
3OCE	A	3R6Q	B	0.004169	14.966630
3OCE	A	3R6Q	H	0.004183	14.966630
3OCE	A	3R6V	F	0.004184	14.525839
3OCE	A	3R6V	H	0.004224	14.525839
3OCE	A	3R6Q	D	0.004245	15.033296
3OCE	A	1J3U	B	0.004302	14.282857
3OCE	A	3R6V	A	0.004326	14.696938
3OCE	A	3R6V	G	0.004459	15.394804
3OCE	A	3R6V	E	0.004654	13.711309
3OCE	A	1VDK	B	0.004799	13.892444
3OCE	A	3R6V	C	0.004821	15.874508
3OCE	A	3OCF	D	0.004944	14.798649
3OCE	A	1YFM	A	0.005295	14.628739
3OCE	A	3R6Y	B	0.005347	14.696938
3OCE	A	3R6Y	H	0.005394	14.764823
3OCE	A	3R6Y	A	0.005399	14.764823
3OCE	A	3E04	D	0.005454	15.329710
3OCE	A	3R6Y	E	0.005475	14.866069
3OCE	A	1KQ7	B	0.005483	14.866069
3OCE	A	3R6Y	F	0.005501	14.899664
3OCE	A	1FUO	A	0.005558	14.966630
3OCE	A	1FUP	B	0.005684	15.132746
3OCE	A	3R6Y	D	0.005685	15.099669
3OCE	A	3R6Y	C	0.005693	15.264338
3OCE	A	1FUP	A	0.005785	15.264338
3OCE	A	2FUS	A	0.005811	15.297059
3OCE	A	3R6Y	G	0.005847	15.362291
3OCE	A	2FUS	B	0.005886	15.394804
3OCE	A	1FUO	B	0.005889	15.394804
3OCE	A	1FUQ	A	0.005913	15.427249
3OCE	A	1KQ7	A	0.005992	15.620499
3OCE	A	1VDK	A	0.006041	15.684387
3OCE	A	1JSW	A	0.006083	15.716234
3OCE	A	1FUR	A	0.006115	15.684387
3OCE	A	1JSW	D	0.006174	15.968719
3OCE	A	1FUR	B	0.006240	15.842980
3OCE	A	3E04	C	0.006274	19.000000
3OCE	A	1YFE	A	0.006288	15.905974
