query_pdb	query_chain	jaccard	includes_self	intersection
2PUQ	I	1.0000	no	101MA, 102LA, 102MA, 103LA, 103MA, 104LA, 104LB, 104MA, 105MA, 106DA, 106DB, 106DC, 106DD, 106MA, 107LA, 107MA, 108LA, 108MA, 109LA, 109MA, 10GSA, 10GSB, 10MHA, 110LA, 110MA, 111LA, 111MA, 112LA, 112MA, 113LA, 114LA, 115LA, 117EA, 117EB, 118LA, 119LA, 11ASA, 11ASB, 11BAA, 11BAB, 11BGA, 11BGB, 11GSA, 11GSB, 120LA, 121PA, 122LA, 123LA, 125LA, 126LA, 127LA, 128LA, 200LA, 201LA, 201LB, 205LA, 206LA, 207LA, 208LA, 209DC, 209LA, 20GSA, 20GSB, 210LA, 211LA, 212LA, 213LA, 214LA, 215LA, 216LA, 216LB, 217LA, 218LA, 219LA, 21BIA, 220LA, 221LA, 221PA, 222LA, 223LA, 224LA, 225LA, 226LA, 310DA, 310DB, 316DC, 31BIA, 400DA, 400DB, 41BIA, 421PA, 521PA, 621PA, 721PA, 821PA
3OG8	A	0.3333	yes	2AGZA, 2AGZB, 2H3XD, 2H47H, 2IAAD, 2IUQA, 2IUVA, 2OK6B, 2QFBA, 2QFBB, 2QFBC, 2QFBD, 2QFBE, 2QFBF, 2QFBG, 2QFBH, 2QFBI, 2QFBJ, 2QFDA, 2QFDB, 2QFDC, 2QFDD, 2QFDE, 2QFDF, 2QFDG, 2QFDH, 2QFDI, 2QFDJ, 2RMJA, 2RQAA, 2V5OA, 2W4RA, 2W4RB, 2W4RC, 2W4RD, 3EQTA, 3EQTB, 3GA3A, 3LRNA, 3LRNB, 3LRRA, 3LRRB, 3NCUA, 3NCUB, 3OG8A, 3OG8B, 4A2XA, 4A2XB, 4A2XC, 4A2XD
3OG8	B	0.3333	yes	1PM3B, 2AGZA, 2AGZB, 2H47H, 2IAAD, 2IUQA, 2IUVA, 2QFBA, 2QFBB, 2QFBC, 2QFBD, 2QFBE, 2QFBF, 2QFBG, 2QFBH, 2QFBI, 2QFBJ, 2QFDA, 2QFDB, 2QFDC, 2QFDD, 2QFDE, 2QFDF, 2QFDG, 2QFDH, 2QFDI, 2QFDJ, 2RMJA, 2RQAA, 2RQBA, 2V5OA, 2W4RA, 2W4RB, 2W4RC, 2W4RD, 3EQTA, 3EQTB, 3GA3A, 3LRNA, 3LRNB, 3LRRA, 3LRRB, 3NCUA, 3NCUB, 3OG8A, 3OG8B, 4A2XA, 4A2XB, 4A2XC, 4A2XD
4EA4	A	0.1364	yes	1DK5B, 1ORNA, 1ORPA, 1P59A, 1PU6B, 1XG7A, 1XG7B, 2CSBB, 2CSDA, 2CSDB, 2G77A, 3IHOA, 3LJVA, 3NQWB, 3NR1B, 3O4ZA, 3O4ZB, 3O4ZD, 4E9FA, 4E9HA, 4EA4A, 4EA5A, 4EVHA, 4EW0A
1N1S	A	0.1236	yes	1MR5A, 1MS0A, 1MS0B, 1MS1A, 1MS1B, 1MS3A, 1MS3B, 1MS4A, 1MS4B, 1MS5B, 1MS8A, 1MS9A, 1MS9B, 1MZ5A, 1N1SA, 1N1TA, 1S0IA, 1S0JA, 3B69A, 3OPZA, 3OPZB, 3OPZC
2PUQ	T	0.1236	no	1A21A, 1AHWC, 1AHWF, 1DANT, 1J9CT, 1UJ3C, 1WQVT, 1WSST, 1WTGT, 1WUNT, 1WV7T, 2A2QT, 2AEIT, 2AERT, 2FIRT, 2HFTA, 2ZP0T, 2ZWLT, 2ZZUT, 3C09B, 3TH2T, 3TH4T
4FNI	A	0.1050	no	1SQEA, 1SQEB, 1TZ0B, 1TZ0C, 1XBWA, 1XBWD, 2VQ5B, 2ZDOA, 2ZDOB, 2ZDOC, 2ZDOD, 2ZDPA, 2ZDPB, 3LGMA, 3LGMB, 3LGNB, 4FNHA, 4FNHB, 4FNIB
4FNI	B	0.0994	yes	1SQEA, 1SQEB, 1TZ0B, 1TZ0C, 1XBWA, 1XBWD, 2ZDOA, 2ZDOB, 2ZDOC, 2ZDOD, 2ZDPA, 2ZDPB, 3LGMA, 3LGMB, 3LGNB, 4FNHA, 4FNHB, 4FNIB
2PUQ	L	0.0989	yes	1BF9A, 1CCFA, 1F7EA, 1FAKL, 1IXAA, 1J9CL, 1O5DL, 1XKBA, 2B7DL, 2F9BL, 2FLBL, 2FLRL, 2PUQL, 2VJ3A, 3ELAL, 3F6UL, 3TH3L, 4D90A
2PUQ	H	0.0753	no	1EKBB, 1EZQA, 1FAXA, 1G2MA, 1IOEA, 1IQEA, 2D1JA, 2EI6A, 2EI8A, 2GD4B, 2GD4H, 2XBVA, 3M37A, 3Q3KA
