query_pdb	query_chain	jaccard	includes_self	intersection
3O14	A	0.3423	yes	1SFNA, 1SFNB, 1VJ2A, 1VJ2B, 1YOXA, 1YOXE, 1YOXF, 2FQPA, 2P17A, 2QNKA, 3CEWA, 3CEWB, 3CEWC, 3CEWD, 3FE5A, 3FJSA, 3GF5B, 3GNFB, 3H7JA, 3H7JB, 3H7YA, 3H9AA, 3H9AB, 3O14A, 4E2GC, 4E2GF, 4E2GH, 4E2QA, 4E2QB, 4E2QC, 4E2QD, 4E2QE, 4E2QG, 4E2QH, 4E2QI, 4E2QJ, 4E2QK, 4E2QL, 4E2QN, 4E2QO, 4E2SB, 4E2SD, 4E2SE, 4E2SG, 4E2SH, 4E2SI, 4E2SJ, 4E2SL, 4E2SN, 4E2SO, 4E2SP
3NO2	A	0.2903	no	1E1AA, 1PGUA, 1PGUB, 1PI6A, 1PJXA, 1Q7FA, 2DG0A, 2DG0B, 2DG0C, 2DG0D, 2DG0E, 2DG0F, 2DG0G, 2DG0H, 2DG0I, 2DG0J, 2DG0K, 2DG0L, 2DG1A, 2DG1B, 2DG1D, 2GVUA, 2GVVA, 2GVWA, 2GVXA, 2IAOA, 2IAPA, 2IASA, 2IATA, 2IAUA, 2IAWA, 2IAXA, 3BYCA, 3HLHA, 3HLHB, 3HLHD, 3HLIA, 3HLIB, 3HLID, 3KGGA, 3LI3A, 3LI4A, 3LI5A, 3O4PA, 3VL1A
3NHV	A	0.1299	yes	1RHDA, 1S4DB, 1S4DI, 1S4DJ, 1YT8A, 2GPTA, 2K0ZA, 2O7SA, 3GK5A, 3ILMB, 3NHVA, 3NHVB, 3NHVC, 3NHVD, 3NHVE, 3O3WA, 3O3WB, 3O3WC, 3O3WD, 3O3WE, 3O3WF, 3O3WG, 3O3WH
3NRE	A	0.1173	no	1JV2A, 1L5GA, 1LKFA, 1M1XA, 1U8CA, 2X9ZA, 3FCSA, 3FCSC, 3IJEA, 3K6SA, 3K6SC, 3K6SE, 3K6SG, 3K71A, 3K71C, 3K71E, 3K71G, 3K72A, 3K72C, 3RFZB, 3RFZE
3MWT	A	0.0870	no	1QVRA, 1QVRB, 1W36F, 2PO4A, 2XGJB, 2ZXEA, 3KDPA, 3U44B, 3U4QB, 4AI6A, 4AI6B, 4AKGA, 4AKGB, 4AKHA, 4AKHB, 4AKIB
2L0B	A	0.0363	no	2BAYC, 2BAYD, 2EA6A, 2VUSI, 3HCUC, 3NG2A, 4AP4A
3OS7	A	0.0363	no	1L5GA, 1U8CA, 3FCSA, 3FCSC, 3IJEA, 3RFZB, 3RFZE
3NMB	A	0.0309	no	2UZXB, 2UZXD, 3QCWA, 3QCWB, 3R05A, 3R05B
3NR8	A	0.0309	no	2A73B, 2I07B, 2WINF, 3BLBA, 3OSQA, 3OSRB
3NGW	A	0.0256	yes	1J5SA, 1J5SC, 2HNHA, 3E0DB, 3NGWA
3MXQ	A	0.0256	yes	3MXQA, 3MXQC, 3RKWA, 3V7CA, 4F3LA
3N53	A	0.0204	no	1NXOA, 1NXPA, 1NXSA, 2VUHB
3MSE	B	0.0204	no	2BE6B, 3IF7A, 4G27R, 4G28R
3P1T	A	0.0204	no	1B5OB, 1GC3C, 1GC4D, 3MAUB
3N1U	A	0.0204	no	2R8YI, 2R8YL, 2R8YM, 2R8YN
3NJA	A	0.0152	no	1NQYA, 3H9WA, 3NJAD
2L06	A	0.0102	no	2I40B, 2I40D
3NWZ	A	0.0101	no	2B6EF, 3B7KB
2KYT	A	0.0050	no	2IX1A
3MWX	A	0.0050	no	1L5GA
3NIE	A	0.0050	no	2BDWB
3NNQ	A	0.0050	no	3AQKA
2KYW	A	0.0050	no	2P17A
3ORU	A	0.0000	no	
3O14	B	0.0000	no	
3NRE	D	0.0000	no	
3NAT	B	0.0000	no	
2KZW	A	0.0000	no	
3NRT	E	0.0000	no	
3NET	A	0.0000	no	
2KYY	A	0.0000	no	
3N70	C	0.0000	no	
3MR7	C	0.0000	no	
3NI8	A	0.0000	no	
3NF2	A	0.0000	no	
2XGF	B	0.0000	no	
3NO6	D	0.0000	no	
3NYY	A	0.0000	no	
3ON7	D	0.0000	no	
3NNQ	B	0.0000	no	
2L02	A	0.0000	no	
3NQW	B	0.0000	no	
3NMD	B	0.0000	no	
2KXY	A	0.0000	no	
2KY9	A	0.0000	no	
3N05	A	0.0000	no	
3N6Y	B	0.0000	no	
2L01	B	0.0000	no	
3NKZ	D	0.0000	no	
2XGF	C	0.0000	no	
3NIE	B	0.0000	no	
3NWZ	B	0.0000	no	
3NRT	C	0.0000	no	
2KJX	A	0.0000	no	
3N70	A	0.0000	no	
3MR7	A	0.0000	no	
3NHV	D	0.0000	no	
3NRA	B	0.0000	no	
3NPD	A	0.0000	no	
3O0L	A	0.0000	no	
3NYW	A	0.0000	no	
3NJA	C	0.0000	no	
3MT1	B	0.0000	no	
3O1L	A	0.0000	no	
3OBH	A	0.0000	no	
3NI7	A	0.0000	no	
3OBH	B	0.0000	no	
2XGF	A	0.0000	no	
3NQK	A	0.0000	no	
3MXQ	B	0.0000	no	
3NWZ	D	0.0000	no	
2L02	B	0.0000	no	
3OS6	B	0.0000	no	
3MWB	B	0.0000	no	
3NKG	A	0.0000	no	
3N70	H	0.0000	no	
3NHV	B	0.0000	no	
3NKH	B	0.0000	no	
3NI7	B	0.0000	no	
3MWT	B	0.0000	no	
3NNR	A	0.0000	no	
3OBI	C	0.0000	no	
3N91	A	0.0000	no	
3NYW	C	0.0000	no	
3NXH	A	0.0000	no	
2L09	A	0.0000	no	
3NEU	A	0.0000	no	
3MWT	C	0.0000	no	
3OS6	D	0.0000	no	
3MQZ	A	0.0000	no	
3ON7	A	0.0000	no	
3NRE	B	0.0000	no	
3NAT	A	0.0000	no	
3PFE	A	0.0000	no	
3NRT	F	0.0000	no	
3MT1	A	0.0000	no	
3N70	F	0.0000	no	
3P1T	D	0.0000	no	
3OQL	D	0.0000	no	
3OQL	A	0.0000	no	
3ON7	B	0.0000	no	
3NRV	D	0.0000	no	
3NYI	B	0.0000	no	
3OOX	B	0.0000	no	
3NWZ	C	0.0000	no	
3NRH	A	0.0000	no	
3NKZ	B	0.0000	no	
3NMD	D	0.0000	no	
3ON7	C	0.0000	no	
3NYW	D	0.0000	no	
3NRT	D	0.0000	no	
3N70	D	0.0000	no	
3NR8	B	0.0000	no	
3NKD	B	0.0000	no	
3OS7	C	0.0000	no	
3OBI	A	0.0000	no	
3NRA	A	0.0000	no	
3NO6	A	0.0000	no	
2KY4	A	0.0000	no	
3NQW	A	0.0000	no	
3N8U	B	0.0000	no	
3O1L	B	0.0000	no	
3NPF	A	0.0000	no	
3NE8	A	0.0000	no	
3NKD	A	0.0000	no	
3OS7	B	0.0000	no	
3NRW	A	0.0000	no	
3OS6	C	0.0000	no	
3N72	A	0.0000	no	
3NRF	A	0.0000	no	
3NRT	A	0.0000	no	
3MR0	B	0.0000	no	
3MXQ	D	0.0000	no	
3NKG	B	0.0000	no	
3N8U	A	0.0000	no	
2L0C	A	0.0000	no	
3NRT	B	0.0000	no	
3NYI	A	0.0000	no	
3N70	B	0.0000	no	
3NYM	B	0.0000	no	
3NKL	B	0.0000	no	
3NJC	B	0.0000	no	
3NO6	C	0.0000	no	
3NO3	A	0.0000	no	
3NZP	B	0.0000	no	
3MR0	A	0.0000	no	
3O0L	B	0.0000	no	
2L3B	A	0.0000	no	
3MWX	B	0.0000	no	
3NZP	A	0.0000	no	
3OT2	A	0.0000	no	
3NKL	A	0.0000	no	
3OS7	D	0.0000	no	
3N05	B	0.0000	no	
3NJC	A	0.0000	no	
3OS6	A	0.0000	no	
3NMD	A	0.0000	no	
3NO6	B	0.0000	no	
3OQL	C	0.0000	no	
3MWB	A	0.0000	no	
3MQO	A	0.0000	no	
2L0D	A	0.0000	no	
3NET	B	0.0000	no	
3OBI	D	0.0000	no	
3NPP	A	0.0000	no	
3NHV	E	0.0000	no	
3OQL	B	0.0000	no	
3NRL	A	0.0000	no	
3NBM	A	0.0000	no	
3N72	B	0.0000	no	
3NYW	B	0.0000	no	
3NJA	B	0.0000	no	
3NRF	B	0.0000	no	
3NRH	B	0.0000	no	
3NPP	B	0.0000	no	
3NYM	A	0.0000	no	
3NKZ	A	0.0000	no	
3NMD	C	0.0000	no	
3P1T	B	0.0000	no	
3MXQ	C	0.0000	no	
3NRE	C	0.0000	no	
3MX3	A	0.0000	no	
3N70	G	0.0000	no	
3N6Z	A	0.0000	no	
2L3F	A	0.0000	no	
3OBI	B	0.0000	no	
3NHV	C	0.0000	no	
3NKH	A	0.0000	no	
3NRV	A	0.0000	no	
3NJA	D	0.0000	no	
3MX3	B	0.0000	no	
3MQO	B	0.0000	no	
3OOX	A	0.0000	no	
3NOH	A	0.0000	no	
3N0X	A	0.0000	no	
3NKZ	C	0.0000	no	
3NMD	E	0.0000	no	
3NRV	B	0.0000	no	
3NPF	B	0.0000	no	
2KZX	A	0.0000	no	
3N70	E	0.0000	no	
3NZL	A	0.0000	no	
3N6Y	A	0.0000	no	
3NFV	A	0.0000	no	
3N53	B	0.0000	no	
3P1T	C	0.0000	no	
3OT2	B	0.0000	no	
3NRL	B	0.0000	no	
2L01	A	0.0000	no	
3NRV	C	0.0000	no	
3NLC	A	0.0000	no	
3MR7	B	0.0000	no	
